err_a,err_b,cooccurrence_count
asr,asr,375
repetition,repetition,298
incorrect,incorrect,216
interrupt,interrupt,79
hallucination,hallucination,34
asr,incorrect,10
incorrect,asr,10
asr,repetition,9
repetition,asr,9
asr,interrupt,3
interrupt,asr,3
incorrect,interrupt,2
incorrect,repetition,2
repetition,incorrect,2
interrupt,incorrect,2
interrupt,hallucination,1
repetition,interrupt,1
hallucination,interrupt,1
interrupt,repetition,1
asr,hallucination,0
incorrect,hallucination,0
repetition,hallucination,0
hallucination,repetition,0
hallucination,incorrect,0
hallucination,asr,0
