callsid,tonality_variations,call_date,call_duration_sec,non_human_like_voice_instances,asr_errors,incorrect_responses,repetition_by_bot,interruption_handling_error,hallucination_error,high_response_time_flag,bot_followed_script_flag,fatal_student_identified_ai,fatal_ai_off_script,fatal_call_others,call_outcome,introduction_correct_flag,qualification_executed_flag,preference_executed_flag,closing_correct_flag,comments
CALL_0000001,2,2025-11-02,128,0,0,0,0,0,0,False,True,False,False,False,NA,True,True,True,True,High response time observed.
CALL_0000002,3,2025-11-07,20,0,0,0,0,0,0,False,True,False,False,False,Converted,True,False,True,True,
CALL_0000003,1,2025-11-14,113,0,0,0,0,0,0,False,True,False,False,False,Cold,True,True,False,True,
CALL_0000004,3,2025-11-10,93,0,0,0,0,0,0,True,True,False,False,False,NA,True,True,True,True,
CALL_0000005,3,2025-11-03,24,1,0,0,0,0,0,False,True,False,False,False,Cold,True,True,False,True,
CALL_0000006,1,2025-11-05,13,0,0,0,3,0,0,False,True,False,False,False,Cold,True,False,True,True,
CALL_0000007,1,2025-12-01,5,1,0,0,0,0,0,False,True,False,False,False,Cold,True,False,False,True,
CALL_0000008,2,2025-11-04,45,0,0,0,0,0,0,False,True,False,False,False,NA,False,True,False,True,
CALL_0000009,1,2025-11-29,113,1,0,0,0,0,0,False,True,False,False,False,Cold,True,False,True,True,
CALL_0000010,1,2025-11-30,147,0,0,0,0,0,0,False,False,False,False,False,Warm,True,False,True,True,
CALL_0000011,1,2025-11-14,9,0,1,0,0,0,0,False,True,False,False,False,Cold,True,False,True,True,
CALL_0000012,2,2025-11-05,201,0,0,0,0,0,0,False,True,False,False,False,NA,False,False,True,True,
CALL_0000013,1,2025-11-01,222,0,0,0,0,0,0,False,False,False,False,False,Cold,True,True,True,False,
CALL_0000014,3,2025-11-18,18,0,0,0,0,0,0,False,True,False,False,False,Cold,True,True,False,False,
CALL_0000015,2,2025-11-27,243,0,0,0,0,0,0,False,False,False,False,False,NA,True,False,False,False,
CALL_0000016,2,2025-11-02,6,0,0,0,0,0,0,False,True,False,False,False,Cold,True,True,True,True,
CALL_0000017,2,2025-11-05,100,1,0,0,0,0,0,False,False,False,False,False,Cold,True,True,True,True,
CALL_0000018,2,2025-11-10,15,0,0,0,0,0,0,False,True,False,False,False,Callback Requested,True,False,True,True,
CALL_0000019,2,2025-11-12,162,0,0,0,0,0,0,False,True,False,False,False,Cold,True,True,True,True,Student requested callback.
CALL_0000020,3,2025-11-15,193,0,0,0,0,0,0,False,True,False,False,False,Cold,True,True,True,False,Non-human voice detected.
CALL_0000021,0,2025-11-25,5,1,0,0,0,0,0,True,False,False,False,False,Cold,True,True,True,True,
CALL_0000022,1,2025-11-11,149,1,0,0,0,0,0,False,True,False,False,False,Cold,True,True,True,True,
CALL_0000023,0,2025-11-16,183,0,0,0,0,0,0,False,True,False,False,False,Cold,True,True,True,True,
CALL_0000024,1,2025-11-21,66,0,0,0,0,0,0,True,False,False,False,False,Callback Requested,True,False,True,False,Student requested callback.
CALL_0000025,2,2025-11-29,177,0,0,0,0,0,0,False,True,False,False,False,Cold,True,True,True,True,
CALL_0000026,1,2025-11-09,87,0,0,0,0,0,0,False,True,False,False,False,Converted,True,False,False,True,
CALL_0000027,2,2025-11-13,9,0,0,0,0,0,0,True,False,False,False,False,Cold,True,True,True,True,
CALL_0000028,1,2025-11-05,106,1,0,0,0,0,0,False,True,False,False,False,Cold,True,True,False,True,
CALL_0000029,5,2025-11-14,197,0,0,0,0,0,0,False,True,False,False,False,Warm,True,False,True,True,
CALL_0000030,3,2025-11-25,73,0,0,0,0,0,0,False,True,False,False,False,Warm,False,True,True,True,
CALL_0000031,2,2025-11-16,104,0,0,0,0,0,0,True,True,False,False,False,Cold,True,True,True,True,
CALL_0000032,1,2025-11-15,106,0,0,0,0,0,0,False,True,False,False,False,NA,True,True,False,True,
CALL_0000033,2,2025-11-07,176,0,0,0,0,0,0,False,True,False,False,False,Cold,True,False,True,True,
CALL_0000034,3,2025-11-12,103,1,0,0,0,0,0,False,True,False,False,False,Cold,True,False,False,True,
CALL_0000035,2,2025-11-15,20,0,0,0,0,0,0,False,True,False,False,False,Hot,False,True,False,False,
CALL_0000036,1,2025-11-21,12,3,0,0,0,0,0,False,True,False,False,False,Callback Requested,True,False,False,True,
CALL_0000037,2,2025-11-04,139,1,0,0,0,0,0,False,True,False,False,False,Cold,True,False,True,True,
CALL_0000038,2,2025-11-22,133,0,0,0,0,0,0,False,True,False,False,False,Cold,True,True,True,True,
CALL_0000039,1,2025-11-17,106,0,0,0,0,0,0,False,False,False,False,False,NA,True,True,True,True,
CALL_0000040,1,2025-11-29,262,0,0,0,0,0,0,False,True,False,False,False,Cold,True,False,True,True,Flat voice; empathy missed.
CALL_0000041,1,2025-11-29,119,1,0,0,0,0,0,False,True,False,False,False,Cold,True,True,True,True,
CALL_0000042,2,2025-11-07,9,0,0,0,0,0,0,False,True,False,False,False,Callback Requested,True,True,False,True,
CALL_0000043,0,2025-11-18,53,0,0,0,0,0,0,False,True,False,False,False,Cold,True,True,True,True,
CALL_0000044,1,2025-11-01,16,0,0,0,0,0,0,False,True,False,False,False,Cold,True,True,False,True,Hallucination: incorrect info given.
CALL_0000045,4,2025-11-13,9,1,0,0,0,0,0,True,True,False,False,False,Cold,True,True,True,True,Flat voice; empathy missed.
CALL_0000046,0,2025-11-29,115,1,0,0,0,0,0,False,True,False,False,False,Cold,True,True,True,True,Flat voice; empathy missed.
CALL_0000047,2,2025-11-19,16,1,0,0,0,0,0,False,True,False,False,False,Cold,True,True,True,True,
CALL_0000048,2,2025-11-05,88,1,0,0,0,0,0,False,True,False,False,False,Converted,True,False,True,False,
CALL_0000049,1,2025-11-18,25,2,0,0,0,0,0,False,False,False,False,False,Cold,True,False,True,True,
CALL_0000050,2,2025-11-12,250,0,0,0,0,0,0,False,True,False,False,False,NA,True,False,True,True,
CALL_0000051,0,2025-11-30,10,0,0,0,0,0,0,False,False,False,False,False,Cold,True,True,False,True,
CALL_0000052,3,2025-11-22,9,0,0,0,0,0,0,True,True,False,False,False,Cold,True,True,True,True,
CALL_0000053,2,2025-11-27,7,0,0,0,0,0,0,False,False,False,False,False,Callback Requested,True,True,True,True,
CALL_0000054,2,2025-11-12,28,0,0,0,0,0,0,False,True,False,False,False,Cold,True,True,True,False,
CALL_0000055,2,2025-11-26,110,0,0,0,0,0,0,True,True,False,False,False,Cold,True,True,True,False,
CALL_0000056,1,2025-11-09,20,1,0,0,0,0,0,True,True,False,False,False,Cold,False,True,True,True,
CALL_0000057,1,2025-11-17,190,1,0,0,0,0,0,False,False,False,False,False,Cold,True,True,False,True,Student requested callback.
CALL_0000058,1,2025-11-09,24,0,0,0,0,0,0,False,True,False,False,False,Cold,True,True,False,True,
CALL_0000059,2,2025-11-21,112,0,0,0,0,0,0,False,False,False,False,False,NA,True,False,True,False,
CALL_0000060,2,2025-11-10,144,0,0,0,0,0,0,False,True,False,False,False,Cold,True,True,True,True,Student requested callback.
CALL_0000061,1,2025-11-27,37,0,0,0,0,0,0,False,False,False,False,False,Warm,True,True,True,True,Hallucination: incorrect info given.
CALL_0000062,0,2025-11-27,261,0,0,0,0,0,0,False,True,False,False,False,Converted,False,True,True,True,
CALL_0000063,2,2025-12-01,147,0,0,0,0,0,0,False,True,False,False,False,Callback Requested,True,True,False,True,Bot repeated the same line twice.
CALL_0000064,2,2025-11-22,29,0,0,0,0,0,0,False,False,False,False,False,Cold,False,True,True,True,
CALL_0000065,0,2025-11-04,114,1,0,0,0,0,0,False,True,False,False,False,Cold,True,True,False,True,
CALL_0000066,1,2025-11-15,27,0,0,0,0,0,0,False,True,False,False,False,Cold,True,True,True,True,Student requested callback.
CALL_0000067,2,2025-11-27,27,0,0,0,0,0,0,False,True,False,False,False,Cold,True,False,False,True,
CALL_0000068,1,2025-11-02,24,0,0,0,0,0,0,False,True,False,False,False,Cold,True,False,True,True,Script followed but closing weak.
CALL_0000069,4,2025-11-26,146,1,1,1,0,0,0,False,True,False,False,False,Callback Requested,True,False,True,True,
CALL_0000070,0,2025-11-10,141,0,0,0,0,0,0,False,True,False,False,False,Cold,True,True,True,True,
CALL_0000071,0,2025-11-05,11,0,0,0,0,0,0,True,False,False,False,False,Callback Requested,False,False,True,True,
CALL_0000072,2,2025-11-22,12,0,0,0,0,0,0,False,True,False,False,False,Cold,True,True,True,True,
CALL_0000073,1,2025-11-07,21,1,0,0,0,0,0,False,False,False,False,False,Cold,True,True,True,True,
CALL_0000074,2,2025-11-29,69,0,0,0,0,0,0,False,False,False,False,False,Cold,True,True,False,True,
CALL_0000075,3,2025-11-04,112,2,0,0,0,0,0,False,True,False,False,False,Cold,False,False,True,True,
CALL_0000076,1,2025-11-21,221,0,0,0,0,0,0,False,True,False,False,False,NA,True,False,True,True,
CALL_0000077,2,2025-11-11,185,1,0,0,2,0,0,False,True,False,False,False,Cold,True,True,True,True,
CALL_0000078,3,2025-11-30,120,0,0,0,0,0,0,True,False,False,False,False,Cold,False,True,True,True,
CALL_0000079,2,2025-11-23,5,0,0,0,0,0,0,False,True,False,False,False,Cold,True,False,True,True,Bot repeated the same line twice.
CALL_0000080,1,2025-11-06,29,1,0,0,0,0,0,False,True,False,False,False,Cold,True,False,False,True,
CALL_0000081,1,2025-11-16,129,0,0,0,0,0,0,False,True,False,False,False,Cold,True,False,False,True,
CALL_0000082,2,2025-11-25,166,0,0,0,0,0,0,False,True,False,False,False,Cold,True,False,False,True,
CALL_0000083,1,2025-11-28,131,0,0,0,0,0,0,False,False,False,False,False,Cold,True,False,True,True,
CALL_0000084,4,2025-11-29,178,0,0,0,0,0,0,False,True,False,False,False,Cold,True,True,True,True,
CALL_0000085,2,2025-11-18,112,1,0,0,0,0,0,False,True,False,False,False,Cold,True,True,True,True,High response time observed.
CALL_0000086,1,2025-11-05,7,0,0,0,0,0,0,False,False,False,False,False,Converted,True,True,False,True,
CALL_0000087,1,2025-11-27,132,0,0,0,0,0,0,False,True,False,False,False,NA,True,True,True,True,
CALL_0000088,0,2025-11-17,7,0,0,0,0,0,0,True,True,False,False,False,Cold,True,True,True,True,
CALL_0000089,0,2025-11-16,141,0,0,0,0,0,0,False,True,False,False,False,Warm,True,False,False,False,
CALL_0000090,3,2025-11-13,156,0,0,0,0,0,0,True,False,False,False,False,Cold,True,True,False,True,
CALL_0000091,1,2025-11-05,41,0,0,0,0,0,0,False,True,False,False,False,Callback Requested,True,False,False,True,
CALL_0000092,3,2025-11-25,77,0,0,0,0,0,0,False,True,False,False,False,Cold,True,True,True,False,
